event_id,control_name,priority_level,priority_score,compliance_control,matched_rules
DRF00684,Control-82,HIGH,79.25,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00684,Control-82,HIGH,79.25,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00684,Control-82,HIGH,79.25,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00635,Control-67,HIGH,71.07,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00635,Control-67,HIGH,71.07,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00635,Control-67,HIGH,71.07,NIST SI-4,"[""DLP Rule Removed""]"
DRF00635,Control-67,HIGH,71.07,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00847,Control-9,HIGH,71.85,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00847,Control-9,HIGH,71.85,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00847,Control-9,HIGH,71.85,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00709,Control-35,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00709,Control-35,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00709,Control-35,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00709,Control-35,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00809,Control-87,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00809,Control-87,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00809,Control-87,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00809,Control-87,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00806,Control-60,HIGH,73.91,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00806,Control-60,HIGH,73.91,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00806,Control-60,HIGH,73.91,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00862,Control-75,MEDIUM,63.61,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00862,Control-75,MEDIUM,63.61,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00862,Control-75,MEDIUM,63.61,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00728,Control-81,HIGH,75.54,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00728,Control-81,HIGH,75.54,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00728,Control-81,HIGH,75.54,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00789,Control-95,HIGH,72.73,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
