feature,importance
numeric__severity_score,0.2428929820019353
numeric__status_score,0.18620151697238008
numeric__change_score,0.11178709598710639
categorical__change_type_Disable,0.05205994966089904
numeric__day_of_week,0.041244007418087376
numeric__month,0.04000552231699179
numeric__hour,0.03402005813759793
categorical__change_type_Remove,0.022168979764526177
categorical__change_type_Enable,0.017346762589645907
categorical__change_type_Update,0.016937691221395438
numeric__has_compliance_impact,0.016323517605305597
categorical__compliance_impact_NONE,0.015202697429265458
categorical__control_type_Vulnerability,0.014975708926655552
categorical__change_reason_Security Update,0.014045126367735432
categorical__change_type_Rollback,0.01367996844489617
numeric__value_changed,0.012519851754678853
categorical__change_type_Modify,0.010578259734457245
numeric__is_weekend,0.010474346000757435
numeric__is_after_hours,0.009725665387278254
categorical__change_reason_Troubleshooting,0.00855901776737965
